ID	CODE	NUMBER	STRING	DATE
1	MGNWAQ	7198	NPWFIAVQTMP	4/12/2007
2	CGUUYS	9209	UNPMFEZOYFY	8/10/1972
3	ZOMVQU	6924	HQAMALBXCZG	3/4/1974
4	TYVLJS	1344	UXTWGGTPIBW	19/8/1967
5	KSHZLI	9664	LLTPYFXTJYI	13/3/2008
6	NJVMOT	4369	JXGFZMCJSPS	17/2/1994
7	RRQSTP	2877	VFISHPFJFAY	12/4/1983
8	EPSSUV	5916	MBVJCRDMYAD	4/11/1992
9	CXZOML	9723	LFOLVFAWDDG	20/5/1960
10	IRJETD	6839	JPKUVWXVNPI	10/12/2000
11	SKWGWZ	6686	VNTHIPBDPPB	20/7/1965
12	SQCUZD	6956	YBBZRCOUTAJ	4/8/1961
13	OKOWEK	6397	YEYVQTCNDFW	17/8/1984
14	BTZYPJ	5621	FRQLOTJTXDU	3/10/1993
15	MRTSJC	2627	PASXFYOAVIS	16/6/1978
16	VYMPPN	9958	RTEZLFJTDYM	14/6/1979
17	GYZBXW	2145	RMWFADAESYB	1/5/1961
18	UEXKCM	9611	VWHTZHBDRFL	10/6/2017
19	KTZVVF	5959	XTOTTCXLBFX	11/4/1984
20	GLMGWA	4245	RLVYKHMGXRL	8/9/1997
21	SYSZCW	1433	CQHVHVPGQYD	16/2/2014
22	WIWSUG	9837	HJIQZGYQCXP	21/11/2006
23	YLQXLA	3375	YGDWFKVZKSE	4/3/2004
24	HJWDLL	8314	DCIJYIQJWBE	3/7/1992
25	ECJHHV	1426	SANKXNLNQTC	1/5/2004
26	ZMDDTJ	6797	NKUMQHHUAYK	4/2/1996
27	SJUHFS	2204	TUXYKIFFNOK	22/6/2009
28	CKWOCW	1457	GICFVSMKLXD	7/3/1975
29	HPOVEG	2820	NIHIROHHYPS	13/7/1979
30	XLWESX	8183	BQWELCXFOBW	13/4/1989
31	OLVYFR	6515	PJHWAHHYSKR	8/1/1977
32	PVDGSP	9222	IGRYHSSQLNE	23/9/1976
33	QRDYOA	2173	POEIRGKATFO	13/11/1968
34	GJDUKT	9657	PVKZOKOPLDH	9/1/1996
35	YWTWBI	9455	QBRSTDPVNQX	1/12/1989
36	MNBJQC	8405	RIWYLDIBDWR	5/9/1996
37	ANAHTS	4669	LVZYEKOJSDI	11/12/1987
38	WCOCTI	8841	MTIKWTTHNMJ	8/7/2012
39	HTEFCR	8123	XVSYNQGDXBN	12/8/1965
40	HWDIPE	6735	UMCCLSQOASF	5/5/2009
41	UKVVON	1346	NXAOEOFFPDW	7/9/1984
42	NBHBYS	5218	ZDUOZDJIBGE	2/1/2010
43	HOFLCN	2733	OCYLPABWYYG	10/9/1963
44	DSJUVE	2349	WBBDVUAKCHV	12/11/1987
45	INNGBY	6016	NQTITRDWIIM	10/6/2014
46	BKUHRJ	8956	STBBAQDMEVA	14/11/1994
47	KGJQWF	6871	VABXSRTZESJ	12/6/2016
48	JYODYF	2377	AJUYTXYPFFC	2/3/2009
